,PC1,PC2
CPT000814,10.304629863404905,7.761601687990773
CPT001846,-0.06494435863030446,7.200798491258952
X01BR001,2.3676736891195906,7.729030934825902
X01BR008,9.731353156828769,0.25237247473831637
X01BR009,2.0752510290553903,2.8470960711747266
X01BR010,-1.3868448003999065,-3.213720897583733
X01BR015,-0.843355078716822,3.770254554406575
X01BR017,3.564962644367095,4.836345600382023
X01BR018,5.708158978490397,2.8792393357268655
X01BR020,8.206775865157567,-0.4062661493048374
X01BR023,3.0559378295384643,-6.496175945678766
X01BR025,-0.3676180527974585,0.39200538469032653
X01BR026,0.879133741372075,3.959742779816775
X01BR027,8.67368732298283,5.723612349021108
X01BR030,-3.6890835461140923,1.2949323028097388
X01BR031,6.780205912201194,2.0022776240111853
X01BR032,1.321612446423896,-6.9223230302435885
X01BR033,-3.6709900128781965,3.842262970529296
X01BR040,4.8513320181978505,10.037450567064159
X01BR042,5.865369037554823,6.911430001241495
X01BR043,4.3878000595075575,7.261802301803463
X03BR002,-3.573355487135837,0.13549190015254572
X03BR004,-3.5996425938449046,0.9352770278965995
X03BR005,-6.108377777365115,4.867428446171532
X03BR006,8.872951510781487,-0.9701041932724195
X03BR010,-3.132334826959082,-3.58330002692637
X03BR011,-0.07051256838491247,-3.425919047395202
X03BR013,-6.987311551743803,2.544548354963662
X05BR001,1.8914956899333373,5.382343408164573
X05BR003,-2.3035183770829923,3.0896368741830718
X05BR004,0.9113752325669029,-2.6682807848198995
X05BR005,-7.790182510824437,2.172300440177251
X05BR009,-6.65108691503483,4.500424796665531
X05BR016,0.06097919885394449,-6.749126704226054
X05BR026,-4.967263091445446,-0.5623381908156536
X05BR029,8.377580587591257,3.665563520079902
X05BR038,-4.250917455140868,0.5660891321914491
X05BR042,8.703409564993711,5.8135131578746435
X05BR043,3.9935818013339923,5.486470056268621
X05BR044,-2.3278228395205427,-0.8100668329238079
X05BR045,5.097581443553333,4.489505941395707
X06BR003,-0.6901707134979214,-0.00524499074628587
X06BR005,-2.222217559073344,-0.5484544218620184
X06BR006,-4.426847693787134,5.628600596657056
X06BR014,-2.9757623990935893,-3.9762884468704898
X09BR001,3.3908199744757246,-5.640194530959709
X09BR004,6.488617556114258,-2.4597123656996174
X09BR005,1.0905815249671746,-4.255842522615018
X09BR007,-2.9337776972640204,-0.5248023412245126
X11BR003,9.351753380545237,0.8451906575700036
X11BR004,0.6878263619428265,-2.949858319446736
X11BR006,-1.7234005474779373,1.551087901341123
X11BR009,3.7565778297521284,-6.490139447156456
X11BR010,-1.579237738389941,-2.373597067735305
X11BR011,-1.2130477462771643,-4.131429269875219
X11BR012,-0.11774482942898389,-8.205802074926947
X11BR013,1.3888420042125158,-3.576065996317397
X11BR014,-6.927920231929181,0.7354590792063282
X11BR015,3.6234674574520107,-5.591239816286362
X11BR016,9.219525348026576,0.26916671038908707
X11BR017,-0.2880752323782448,3.7941526527886724
X11BR018,-7.118688032554997,3.9730211956514974
X11BR019,2.7951507290116466,-3.8103982908919884
X11BR020,-1.9144225458154986,1.0628271533580689
X11BR022,-0.7700855575726938,-0.8647564834584749
X11BR023,7.907982835951797,-0.019848611845508953
X11BR024,7.7180682154514315,1.50001723496863
X11BR025,-0.22703357995068915,-2.6757110280399967
X11BR027,-2.036592709290856,-6.412152189855053
X11BR028,0.2638001188672599,-2.0488176216792735
X11BR030,1.676270893472747,0.08782482671898695
X11BR031,-1.9425050580169823,-0.1845188667804259
X11BR032,-4.557977875528068,-0.41452219064346874
X11BR036,5.465546352561075,-4.027740744130396
X11BR038,-2.720045188125303,3.3871818910397367
X11BR040,-5.069732756421565,2.089559781448024
X11BR042,-3.063235597165483,1.3244524986507316
X11BR043,5.011621312430566,-5.201649370267508
X11BR044,5.532352021547466,-5.083258021777411
X11BR047,-5.832555576270415,-1.0719276731853673
X11BR049,1.6949241400514703,-5.108735164983817
X11BR050,-8.821564640980599,3.334320122786768
X11BR051,-5.879067629921385,0.050461272042387886
X11BR053,-0.23627464534124618,-5.425235811439664
X11BR054,0.6118872185194214,-2.55228613192532
X11BR055,-5.211912772177706,1.947049675219807
X11BR056,0.38052228908654073,-0.6019522537940745
X11BR058,-4.766734420352068,1.910900135980902
X11BR059,-3.0042439777193803,-1.679200049899782
X11BR060,1.2666223725239583,-0.8226367425570164
X11BR072,-5.244803457795813,3.127641353749573
X11BR073,2.477524308889124,-2.065913747264046
X11BR074,-5.183361362066924,4.126313968867059
X11BR075,-0.1308558375616414,-5.393781060715751
X11BR080,2.7068154783379414,-1.3801472197960027
X13BR009,-0.807593003670129,-5.846559788012807
X14BR005,2.2526738728378275,-3.3518361256023237
X14BR008,-7.182912497640797,2.7599427673327175
X14BR014,-4.916181167833697,2.9124516673730336
X15BR003,-5.722089574581782,2.1297681201209357
X16BR012,3.369737264840276,-1.3868447166178361
X18BR002,-4.603912310415859,4.566238741575467
X18BR003,-2.3627040799991286,-4.343606896833377
X18BR004,-0.6892396065257137,-4.390170904237966
X18BR006,-2.9121943671131447,-0.12125619899304127
X18BR007,-2.6151001248537478,6.080843034410486
X18BR009,-2.299090371531808,1.737763102371424
X18BR010,-2.993978206489307,4.032340696788461
X18BR016,-4.34931152371589,-3.0669416818912603
X18BR017,-2.608808311750787,-2.0351195286456067
X18BR019,-2.8621455389763026,-6.116036622586058
X20BR001,-1.695709757654331,-4.25275930688454
X20BR002,1.358322513659743,8.84235519854339
X20BR005,3.9663024353352547,1.548382660104973
X20BR006,5.573123453845073,0.901068443632097
X20BR007,6.226814496057365,-1.6071078533298484
X20BR008,-5.663516091296838,3.6835067771893155
X21BR001,3.7730710500928475,-5.461143582173593
X21BR002,-3.100792731460156,-5.3152053081615005
X21BR010,-5.860166285327394,-3.3510070701851564
X22BR005,1.6164408207036307,-1.319365357895746
X22BR006,-4.465921251290163,-6.944294773660089
