Protein,Centrality
PRELP,0.047058823529411764
VPS4A,0.047058823529411764
RPS15A,0.047058823529411764
MYLK4,0.047058823529411764
YPEL5,0.047058823529411764
G6PD,0.03529411764705882
COMP,0.03529411764705882
RAI14,0.03529411764705882
CDKL1,0.03529411764705882
CLEC11A,0.03529411764705882
BUD31,0.03529411764705882
CD34,0.03529411764705882
YY1,0.03529411764705882
WDR60,0.03529411764705882
TSPAN13,0.023529411764705882
ARHGAP45,0.023529411764705882
CECR1,0.023529411764705882
B4GAT1,0.023529411764705882
TPR,0.023529411764705882
ZBTB40,0.023529411764705882
AMPH,0.023529411764705882
CCDC12,0.023529411764705882
TM9SF2,0.023529411764705882
VKORC1,0.023529411764705882
RBBP5,0.023529411764705882
TRA2B,0.011764705882352941
SLC9A1,0.011764705882352941
WRB-SH3BGR,0.011764705882352941
SMOC1,0.011764705882352941
RINT1,0.011764705882352941
HIBADH,0.011764705882352941
RNF123,0.011764705882352941
TTC38,0.011764705882352941
CD8A,0.011764705882352941
TESK2,0.011764705882352941
AGO4,0.011764705882352941
PTGDS,0.011764705882352941
TMED2,0.011764705882352941
TFG,0.011764705882352941
ATG7,0.011764705882352941
ZNF655,0.011764705882352941
TNC,0.011764705882352941
WDR19,0.011764705882352941
CNOT1,0.011764705882352941
WDR26,0.011764705882352941
COL9A2,0.011764705882352941
PRMT5,0.011764705882352941
AHDC1,0.011764705882352941
TICAM1,0.011764705882352941
SH2D3C,0.011764705882352941
VIPAS39,0.011764705882352941
RPA1,0.011764705882352941
ANXA8L1,0.011764705882352941
ANO10,0.011764705882352941
TWF1,0.011764705882352941
TARDBP,0.011764705882352941
CIAPIN1,0.011764705882352941
CDC73,0.011764705882352941
PRKAR2A,0.011764705882352941
TPRG1,0.011764705882352941
RARS,0.011764705882352941
SNX27,0.011764705882352941
VWF,0.011764705882352941
ATP8B1,0.011764705882352941
C1orf21,0.011764705882352941
SESN3,0.011764705882352941
CLK2,0.011764705882352941
SYNPO2,0.011764705882352941
COL6A1,0.011764705882352941
RPS12,0.011764705882352941
VHL,0.011764705882352941
PSMC5,0.011764705882352941
UTP11,0.011764705882352941
ATP5G2,0.011764705882352941
SPIN1,0.011764705882352941
TDRKH,0.011764705882352941
ANAPC7,0.011764705882352941
RPL30,0.011764705882352941
TSSC4,0.011764705882352941
C1orf50,0.011764705882352941
CDK12,0.011764705882352941
CLTC,0.011764705882352941
PTRH2,0.011764705882352941
CCAR1,0.011764705882352941
RPS27L,0.011764705882352941
PRG3,0.011764705882352941
